---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
0,35813.2026,,26302.4968,,22304.3284,,15748.9078,,26898.8966,,12142.6133,,25500.6711,,20179.9588,,25418.1438,,,,,
0.16666,,48094.4052,,30991.0573,,27316.2687,,35209.305,,28547.9724,,21684.64,,37325.6644,,25182.2845,,27210.0915,,,,
0.33339525,35912.8105,,26338.1146,,22248.8358,,15805.1348,,26926.0414,,12171.9467,,25546.1208,,20163.5299,,25350.7451,,,,,
0.500055,,48143.8431,,30959.3376,,27365.6418,,35155.3475,,28608.6621,,21927.2533,,37452.698,,25103.901,,27117.9346,,,,
0.666715,35856.549,,26245.6815,,22347.9701,,15837.844,,26924.0828,,12228.32,,25500.3221,,20197.4763,,25358.4052,,,,,
0.83337475,,48130.719,,30931.7962,,27326.5075,,35233.3901,,28521.1586,,22119.7333,,37272.3758,,25230.2515,,27272.0784,,,,
1.0000345,35860.3922,,26160.4076,,22372.2388,,15742.2695,,26872.331,,12159.3867,,25532.5638,,20122.8536,,25403.3725,,,,,
1.16677,,48029.098,,30936.1529,,27453.2239,,34825.1915,,28503.5034,,22124.5867,,37429.1007,,25256.2474,,27184.9673,,,,
1.33342975,35855.9216,,26216.1274,,22309.5821,,15783.4326,,26899.5586,,12159.3867,,25563.5705,,20294.7299,,25405.5948,,,,,
1.5000895,,48055.8693,,30854.0637,,27391.0448,,34733.9574,,28503.9448,,22286.8533,,37316.9933,,25278.3175,,27154.3268,,,,
1.6667495,35864.6013,,26174.7006,,22218.4478,,15707.0071,,26883.2552,,12105.5467,,25581.6376,,20197.8062,,25342.4314,,,,,
1.83348475,,48003.2941,,31024.9427,,27415.194,,34687.5461,,28632.1931,,22242.2933,,37273.5839,,25297.8144,,27316.7059,,,,
2.0001445,35802.1176,,26224.5096,,22191.6716,,15788.7092,,26836.1931,,12083.84,,25544.5638,,20214.5979,,25459.5294,,,,,
2.1668045,,47994.4314,,30981.1975,,27482.8358,,35161.3901,,28634.0414,,22079.8933,,37529.2081,,25359.7031,,27312.7059,,,,
2.33346425,35984.3137,,26121.2229,,22300.2687,,15654.5532,,26797.7379,,12088.4,,25506.1208,,20191.5052,,25362.9281,,,,,
2.500124,,47968.1307,,30995.6688,,27455.9701,,35181.1064,,28530.3724,,21876.48,,37676.2416,,25320.4124,,27265.9869,,,,
2.6668595,35862.5098,,26219.949,,22281.1642,,15711.0922,,26873.7103,,12129.1733,,25520.8322,,20201.0062,,25396.6797,,,,,
2.83351925,,47919.6601,,30886.1146,,27488.2388,,36718.3546,,28493.8207,,21884.3467,,37493.2081,,25357.8227,,27106.0654,,,,
3.000179,35823.4248,,26172.8408,,22267.1343,,15692.8227,,26805.9862,,12140.4267,,25628.3758,,20208.6268,,25294.7974,,,,,
3.166839,,47947.6863,,30997.0446,,27533.7313,,37017.5035,,28562.4,,21823.92,,37451.5973,,25415.6866,,27141.4379,,,,
3.33357425,35826.3007,,26188.8153,,22326.3582,,15645.6454,,26935.0897,,12155.84,,25604.3221,,20122.4577,,25324.4444,,,,,
3.500234,,47824.9673,,30955.7962,,27621.3134,,36514.1277,,28550.4552,,21789.8133,,37061.0201,,25324.8,,27145.0719,,,,
3.666894,35886.719,,26123.7707,,22257.5522,,15655.6879,,26797.4069,,12133.4667,,25494.1745,,20136.8082,,25346.2222,,,,,
3.83355375,,47921.7255,,30970.5987,,27637.2836,,36431.9433,,28637.6828,,21645.3067,,36865.745,,25402.2598,,27131.2941,,,,
4.0002135,35948.5229,,26111.7452,,22287.0746,,15721.4468,,26893.931,,12190.48,,25543.3289,,20194.4412,,25336.366,,,,,
4.166949,,47670.7451,,30980.8153,,27549.0746,,36460.5106,,28634.7862,,21785.04,,36790.2282,,25447.0268,,27089.4641,,,,
4.33360875,35914.2222,,26139.5669,,22256.2985,,15660.0851,,26814.4,,12122.5867,,25537.8255,,20197.3443,,25391.3203,,,,,
4.5002685,,47762.0915,,30970.0127,,27655.4328,,37018.6667,,28658.6207,,21629.1467,,36580.6711,,25805.2619,,27137.0196,,,,
4.6669285,35959.0065,,26131.0573,,22274.597,,15654.8085,,26828.5241,,12133.7333,,25530.3624,,20136.3134,,25402.8235,,,,,
4.83366375,,47754.3007,,30903.2102,,27616.5373,,36619.8865,,28473.9586,,21576.8,,36533.7718,,25624.2144,,27233.4118,,,,
5.0003235,36026.0915,,26177.3503,,22292,,15616.3121,,26893.0483,,12157.8933,,25681.5839,,20208.3629,,25367.2941,,,,,
5.1669835,,47829.4902,,30868.5096,,27620.9851,,36352.9645,,28509.2138,,21536.7733,,36785.4228,,25623.3237,,27497.4902,,,,
5.33364325,35954.5621,,26227.6178,,22295.0746,,15615.0922,,26875.4759,,12185.3067,,25643.8389,,20216.1814,,25321.5163,,,,,
5.50030325,,47894.1438,,30925.6306,,27459.6716,,36628.6809,,28556.1379,,21611.7067,,36604.8859,,25674.2598,,27471.0065,,,,
5.6670385,35978.1176,,26138.3694,,22272.4179,,15611.5461,,26880.0828,,12146.1867,,25608.1074,,20219.6784,,25327.8954,,,,,
