---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
0,28705.4641,,21621.4268,,19051.9104,,13587.3191,,23158.8414,,10352.7733,,22917.3154,,16288.099,,18580.4706,,,,,
0.16666,,37690.3268,,25753.7325,,23415.7612,,35870.8085,,25241.2966,,18995.2533,,35220.6443,,20873.468,,21902.2222,,,,
0.33339525,28700.4444,,21596.7134,,19046.7164,,13571.1773,,23189.269,,10327.6267,,23010.0134,,16248.2144,,18536.732,,,,,
0.500055,,37646.2222,,25674.0637,,23392.4478,,36119.773,,25106.9241,,18902.0533,,35092.7248,,20823.0598,,21888.2092,,,,
0.666715,28624.7582,,21750.6497,,19027.7612,,13509.1064,,23158.8414,,10355.3333,,22936.8054,,16307.6619,,18488.1307,,,,,
0.83337475,,37568.732,,25746.2675,,23386.2687,,36393.0496,,25199.4207,,18733.28,,35093.5034,,20787.5299,,21860.1046,,,,
1.00011,28699.9216,,21683.7962,,19133.8507,,13512.7376,,23161.2414,,10353.4667,,22887.1141,,16360.9072,,18506.6667,,,,,
1.16677,,37564.9673,,25675.8981,,23390.7164,,36304.4255,,25092.8,,18747.0933,,35153.9597,,20724.0247,,21815.4771,,,,
1.33342975,28668.366,,21697.0446,,19013.8507,,13467.3475,,23135.8069,,10351.1467,,22951.0872,,16278.8948,,18451.634,,,,,
1.5000895,,37626.902,,25670.828,,23407.2239,,36216.9362,,25138.0414,,18772.5867,,35683.302,,20721.5175,,21757.6732,,,,
1.6667495,28634.4575,,21692.3567,,18990.5672,,13507.2624,,23148.1655,,10351.7067,,22908.2685,,16262.466,,18497.6993,,,,,
1.83348475,,37738.1438,,25694.3949,,23302.6269,,35785.1631,,25052.7724,,18618.2667,,36111.5168,,20753.6495,,21777.3072,,,,
2.0001445,28656.732,,21632.2803,,18990.7761,,13512.4255,,23086.3448,,10354.4533,,22897.2081,,16305.4186,,18489.8301,,,,,
2.1668045,,37691.8431,,25565.0701,,23445.791,,35456.5106,,25051.0621,,18649.36,,35918.4161,,20692.0247,,21727.5294,,,,
2.33346425,28726.1699,,21659.949,,19068.1194,,13529.7589,,23113.6,,10348.72,,22894.0403,,16301.0969,,18545.7778,,,,,
2.5001995,,37773.8039,,25671.9236,,23379.6418,,35397.8156,,25128,,18549.7067,,35549.6107,,20726.0041,,21606.5621,,,,
2.6668595,28805.7516,,21692.9172,,19024.6567,,13498.8369,,23153.7103,,10368.72,,22779.2215,,16274.3093,,18484.8105,,,,,
2.83351925,,37612.183,,25575.6178,,23278.0299,,35253.4468,,25090.3724,,18699.8933,,35180.5369,,20712.6103,,21710.902,,,,
