---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
0,16864.4892,,7488.22222,,8740.52941,,50883.7483,,16769.6599,,33468.7484,,12221.305,,,,,
0.16666,,16777.1799,,10404.127,,11875.0882,,45104.2797,,16215.1293,,27559.8194,,13664.3688,,,,
0.33339525,16846.1871,,7493.33333,,8757.14706,,50889.4545,,16765.1973,,33444.7226,,12241.0213,,,,,
0.500055,,16806.2734,,10380.8889,,11890.4118,,45159.1049,,16239.483,,27576.0774,,13691.3475,,,,
0.666715,16893.1511,,7505.71429,,8783.32353,,50825.8462,,16785.5782,,33447.2258,,12261.3901,,,,,
0.83337475,,16764.8345,,10391.746,,11859.1765,,45127.8042,,16250.6395,,27559.6903,,13697.1064,,,,
1.0000345,16891.1079,,7479.65079,,8726.55882,,50862.5455,,16750.9116,,33484.4387,,12275.0071,,,,,
1.16677,,16758.3885,,10414.5714,,11878.5588,,45155.8601,,16215.5918,,27573.1613,,13732.539,,,,
1.33342975,16885.9568,,7479.30159,,8756.32353,,50768.2797,,16728.517,,33454.1419,,12268.0567,,,,,
1.5000895,,16761.554,,10360.9524,,11889.7941,,45134.2098,,16256.0816,,27591.329,,13694.1277,,,,
1.6667495,16843.8273,,7487.20635,,8761.52941,,50881.8462,,16788.6259,,33445.3419,,12239.8865,,,,,
1.83348475,,16789.6978,,10434.7937,,11890.3529,,45121.1189,,16195.4014,,27525.0065,,13658.3262,,,,
2.0001445,16894.3597,,7494.92063,,8775.52941,,50847.6364,,16760.6803,,33425.8581,,12249.5319,,,,,
2.1668045,,16814.1871,,10413.619,,11908.1176,,45108.1678,,16208.5986,,27589.7032,,13689.9858,,,,
2.33346425,16868.9209,,7491.11111,,8744.26471,,50834.7692,,16791.5918,,33411.6387,,12255.9716,,,,,
2.500124,,16773.2662,,10412.6984,,11877.5588,,45137.5664,,16195.4558,,27542.2968,,13646.383,,,,
2.6668595,16896,,7472,,8765.64706,,50823.1608,,16781.0068,,33447.1484,,12249.7589,,,,,
2.83351925,,16790.9353,,10409.746,,11869.6176,,45117.6224,,16236.1361,,27616.3871,,13684.5957,,,,
3.000179,16862.446,,7529.33333,,8749.5,,50828.3357,,16799.4014,,33418.5548,,12252.7943,,,,,
