---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
0,22418.1007,,8478.50794,,10978.1765,,60715.8322,,20438.966,,44130.9161,,16516.227,,,,,
0.16666,,23491.6835,,11750.254,,14797.6765,,55970.5455,,20031.4286,,39104.929,,17986.9504,,,,
0.33339525,22404.0288,,8481.55556,,10989.2353,,60770.8252,,20427.9184,,44142.0903,,16472.3688,,,,,
0.500055,,23485.6403,,11698.8889,,14769.9706,,55988.6993,,20030.6122,,39119.7419,,17991.5745,,,,
0.666715,22501.3813,,8484.28571,,11006.8824,,60834.5175,,20476.4354,,44123.3548,,16435.0071,,,,,
0.83337475,,23485.3813,,11691.2063,,14790.9118,,56005.1748,,20015.5646,,39097.8323,,17965.1915,,,,
1.0000345,22205.1223,,8461.11111,,11012.8529,,60805.9021,,20401.932,,44218.8129,,16457.078,,,,,
1.16677,,23249.3813,,11692.0635,,14808.1471,,55958.7692,,20025.8503,,39128.3871,,17981.9574,,,,
1.33342975,22156.9496,,8490.15873,,10983.8824,,60735.6084,,20426.6122,,44198.0387,,16416.1702,,,,,
1.5000895,,23181.9281,,11751.746,,14803.8235,,55966.014,,19998.449,,39044.7742,,17963.8865,,,,
1.6667495,22131.5971,,8486.95238,,10975.3824,,60725.3986,,20450.3673,,44156.1548,,16428.0851,,,,,
1.83348475,,23187.7986,,11687.0159,,14768.7941,,56021.958,,19999.5646,,39112.129,,17935.7163,,,,
2.0001445,22198.5324,,8492,,10990.7353,,60777.035,,20419.7007,,44156.7484,,16393.5319,,,,,
2.1668045,,23302.4173,,11730.6984,,14801.5294,,55948.2517,,19953.8231,,39113.1097,,17957.305,,,,
2.33346425,22310.9928,,8535.96825,,10979.9412,,60785.035,,20363.102,,44052.7484,,16432.3404,,,,,
2.500124,,23467.9137,,11726.4127,,14790.9118,,56023.4126,,19968.9524,,39070.4774,,17970.1844,,,,
2.6668595,22479.7122,,8470.8254,,10975.8529,,60656.2238,,20436.6531,,44102.6065,,16414.6667,,,,,
2.83351925,,23573.9281,,11682.7937,,14757.2059,,55895.5245,,19973.415,,39082.8387,,17941.0496,,,,
3.000179,22580.8345,,8469.55556,,10989.3529,,60747.5804,,20351.7551,,44119.7935,,16424.5106,,,,,
3.166839,,23408.4892,,11733.6825,,14757.1765,,55941.5105,,19996.6259,,39074.3226,,17949.1348,,,,
3.33349875,22181.5827,,8484.03175,,10958.8529,,60692.028,,20336.1905,,44089.8839,,16439.7163,,,,,
3.500234,,23111.7122,,11768.254,,14748.7647,,55987.4685,,20020.4898,,39102.2968,,17905.3901,,,,
3.666894,22122.2734,,8476.92063,,10920.6176,,60735.6923,,20412.1361,,44061.3419,,16432.0851,,,,,
