---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,F1 Event,F2 Event,F3 Event,F4 Event
Timestamp,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,,,,
0,13933.4309,,16328.1905,,13728.4746,,18448.2783,,15201.8667,,,,,
0.1667,,17853.1707,,22314.6349,,17469.5254,,22229.5304,,20969.3333,,,,
0.33334,13930.7967,,16354.5714,,13730.2373,,18427.1652,,15191.0333,,,,,
0.50005,,17854.5691,,22305.7143,,17444.9153,,22161.287,,20939.7667,,,,
0.66675,13915.252,,16339.6508,,13702.5085,,18399.8957,,15222.5333,,,,,
0.83339,,17858.2114,,22291.3016,,17365.2881,,22224.0348,,20919.9667,,,,
1.00009,13918.2764,,16333.2698,,13675.5254,,18447.513,,15194,,,,,
1.16673,,17827.6098,,22300.9206,,17444.0678,,22235.6522,,20910.9667,,,,
1.33344,13915.6098,,16357.2698,,13725.322,,18435.6174,,15228.5,,,,,
1.50007,,17853.3659,,22277.9365,,17457.4576,,22238.9913,,20931.1,,,,
1.66678,13917.3659,,16327.9683,,13728,,18411.4783,,15214,,,,,
1.83348,,17842.8618,,22286.9206,,17446.3051,,22256.0348,,20951.4,,,,
2.00012,13926.9593,,16312.6667,,13705.3898,,18426.1217,,15181.9,,,,,
2.16682,,17833.5935,,22280.6349,,17410.3729,,22234.3304,,20907.9667,,,,
2.33346,13922.9268,,16367.1111,,13735.5593,,18448.6261,,15179.5667,,,,,
2.50017,,17838.1789,,22278.9524,,17474.9492,,22186.5043,,20908.8,,,,
2.66681,13931.2195,,16329.7143,,13747.0169,,18451.3739,,15219.3333,,,,,
2.83351,,17827.4146,,22254.0635,,17442,,22240.1043,,20906.3333,,,,
3.00021,13923.7724,,16341.3968,,13739.7288,,18455.2348,,15215.9667,,,,,
3.16685,,17829.1382,,22287.7143,,17459.0847,,22214.2957,,20948.7,,,,
3.33356,13914.9919,,16348.0952,,13748.3051,,18463.5478,,15210.6667,,,,,
3.50019,,17848.0976,,22238.1587,,17435.9661,,22208.2435,,20951.6667,,,,
3.6669,13952.7154,,16339.4603,,13789.1525,,18446.5043,,15183.1333,,,,,
3.83354,,17864.748,,22294.7937,,17471.7288,,22266.6435,,20930.2667,,,,
4.00024,13943.7073,,16358.1587,,13752.4746,,18456,,15183.7,,,,,
4.16694,,17849.5935,,22259.6825,,17461.0169,,22237.287,,20921.3333,,,,
4.33358,13949.8537,,16372.7302,,13771.6271,,18405.6696,,15214.3,,,,,
4.50029,,17847.0569,,22282.7302,,17456.4068,,22229.0087,,20900.6,,,,
4.66692,13908.6179,,16362.6032,,13781.5593,,18464.0348,,15199.3,,,,,
4.83363,,17805.4959,,22293.0794,,17461.1864,,22222.1913,,20910.9333,,,,
5.00027,13917.561,,16370.7937,,13766.9831,,18417.0435,,15191.7667,,,,,
5.16697,,17808.6504,,22267.8413,,17465.1186,,22234.9565,,20957.9,,,,
5.33361,13897.3984,,16337.4921,,13758.8475,,18416.5217,,15182.7667,,,,,
5.50031,,17856.6829,,22240.2857,,17479.5593,,22232.6957,,20893.1667,,,,
5.66702,13941.5935,,16340.6984,,13757.7627,,18436.6261,,15209.7333,,,,,
5.83366,,17850.4065,,22295.2698,,17452.5085,,22220.0348,,20970.1,,,,
6.00036,13903.7724,,16393.9365,,13785.1864,,18444.6261,,15203.5,,,,,
6.167,,17813.4309,,22295.7778,,17479.8305,,22250.1565,,20982.9,,,,
6.3337,13906.2114,,16365.4603,,13743.6949,,18429.0783,,15199.4667,,,,,
6.50034,,17814.2764,,22319.0159,,17473.5254,,22193.6,,20958.1,,,,
6.66704,13910.9919,,16350.127,,13763.5932,,18440.2087,,15210.7,,,,,
6.83375,,17836.1301,,22286.8889,,17451.2881,,22233.8087,,20925.9667,,,,
7.00039,13937.6585,,16359.3651,,13758.8136,,18399.687,,15188.2,,,,,
7.16709,,17830.7317,,22269.2698,,17431.7966,,22180.1043,,20920.4333,,,,
7.33373,13949.6911,,16368.6032,,13709.9322,,18380.6261,,15192.2333,,,,,
7.50043,,17866.0488,,22277.9683,,17467.6271,,22199.513,,20895,,,,
7.66707,13924.4878,,16370.3492,,13733.6949,,18414.087,,15234.6333,,,,,
7.83378,,17808.0325,,22320.254,,17428.1695,,22210.1217,,20959.5333,,,,
8.00048,13907.935,,16357.7143,,13754.8814,,18472.6261,,15230.3,,,,,
8.16712,,17814.8293,,22316.4762,,17457.0169,,22242.3304,,20947.4,,,,
8.33382,13931.6098,,16324.7619,,13740.9153,,18453.6,,15227.2667,,,,,
8.50046,,17819.935,,22307.6508,,17429.2542,,22207.2348,,20941.3333,,,,
8.66716,13891.4146,,16346.7619,,13713.0847,,18478.1217,,15190.2,,,,,
8.8338,,17790.3415,,22305.5873,,17433.322,,22204.6957,,20906.3667,,,,
9.00051,13897.3333,,16362.7619,,13755.1525,,18436.2435,,15184.7667,,,,,
9.16721,,17795.3171,,22320.8254,,17468.678,,22241.1478,,20956.2333,,,,
9.33385,13934.7642,,16366.2222,,13752.7458,,18458.087,,15236.1,,,,,
9.50055,,17800.4553,,22328.6667,,17461.4237,,22245.8783,,20960.9667,,,,
9.66719,13916.7154,,16357.9365,,13727.6271,,18428.9391,,15197.6,,,,,
9.83389,,17786.6992,,22297.9683,,17416.5085,,22228.1391,,20977.9667,,,,
10.00053,13951.2195,,16314.8571,,13689.2203,,18443.3391,,15188,,,,,
10.16724,,17784.065,,22251.7778,,17422.5085,,22231.1652,,20950.6667,,,,
10.33388,13887.3171,,16360.1905,,13689.6949,,18438.4348,,15173.6667,,,,,
10.50058,,17804.4228,,22299.8095,,17386.0678,,22258.2609,,20906.3333,,,,
10.66728,13906.6341,,16340.5397,,13692.3051,,18409.8435,,15178.6667,,,,,
10.83392,,17785.7236,,22272.4444,,17406.5085,,22211.6174,,20906.2667,,,,
11.00063,13908.9106,,16353.3651,,13680.7119,,18419.2696,,15182.6333,,,,,
11.16726,,17757.3984,,22322.3175,,17386.1356,,22237.5304,,20939.3667,,,,
11.33397,13887.7073,,16363.3968,,13689.6949,,18438.6435,,15233.1333,,,,,
11.50061,,17763.935,,22252.254,,17432.7119,,22237.2522,,20881.1333,,,,
11.66731,13907.252,,16348.9841,,13715.9661,,18460.313,,15190.2667,,,,,
11.83401,,17773.6585,,22332.381,,17406.678,,22225.113,,20897.9,,,,
12.00065,13886.1138,,16378.4762,,13698.339,,18428.6261,,15180.7333,,,,,
12.16736,,17789.7886,,22278.5079,,17432.6102,,22211.4435,,20925.5333,,,,
12.334,13896.6504,,16321.5873,,13666.5424,,18437.0435,,15190.1667,,,,,
12.5007,,17783.5122,,22291.3333,,17408.7797,,22236.5565,,20883.2667,,,,
12.66734,13931.2195,,16384.2222,,13668.0678,,18392.3826,,15172.9333,,,,,
12.83404,,17782.1789,,22296.127,,17425.0847,,22205.913,,20903.2333,,,,
13.00075,13919.0894,,16355.3968,,13690.7797,,18420.8696,,15202.8333,,,,,
13.16738,,17770.9268,,22305.1429,,17380.339,,22199.5826,,20926.3,,,,
13.33409,13915.3496,,16353.5873,,13700.2034,,18444.2783,,15187.6,,,,,
13.50073,,17770.6992,,22268.4127,,17410.9153,,22216.3478,,20937.6333,,,,
