---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 4,ROI 4,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,-,-,-,-
0.1552,15319.6835,,7590.09524,,8408.11765,,14697.7687,,10111.3759,,,,,
0.3219,,14970.2734,,12011.3968,,12674.7941,,16360.6803,,13454.9787,,,,
0.4885,15569.4388,,7554.88889,,8392.73529,,14703.1293,,10062.6667,,,,,
0.6552,,14987.5683,,11976.2857,,12705.6176,,16401.6054,,13480.227,,,,
0.8219,15647.6547,,7585.39683,,8400.08824,,14696.4898,,10095.0638,,,,,
0.9886,,14979.9137,,12016.2857,,12694.0882,,16380.0272,,13468.0567,,,,
1.1552,15574.5324,,7548.73016,,8370.02941,,14673.932,,10097.9291,,,,,
1.3219,,14994.1871,,11997.2698,,12713.9706,,16384.5714,,13433.9291,,,,
1.4885,15531.3094,,7558.73016,,8382.91176,,14691.7551,,10107.7163,,,,,
1.6553,,14961.2374,,11992.5079,,12690.7059,,16383.3197,,13462.156,,,,
1.8219,15560.3165,,7565.80952,,8366.41176,,14730.2585,,10074.3546,,,,,
1.9886,,14948.7194,,11985.0159,,12736.9412,,16405.0612,,13434.1844,,,,
2.1553,15605.8705,,7565.52381,,8364.47059,,14682.6122,,10068.1418,,,,,
2.3219,,14984.7194,,11973.1746,,12713.2941,,16334.2585,,13438.5248,,,,
2.4887,15554.9065,,7567.61905,,8369.32353,,14686.0136,,10098.8085,,,,,
2.6553,,15037.3525,,12043.0159,,12697.5,,16420.7619,,13473.5035,,,,
2.822,15572.6331,,7605.11111,,8397.11765,,14668.5442,,10056.6241,,,,,
2.9886,,15034.9353,,11967.7778,,12714.2647,,16359.4558,,13451.2908,,,,
3.1554,15665.3525,,7554.03175,,8369.52941,,14681.9048,,10082.8085,,,,,
3.322,,15039.0791,,12015.3651,,12712.2647,,16372.9796,,13446.7518,,,,
3.4887,15664.0863,,7591.20635,,8328.20588,,14651.7823,,10069.844,,,,,
3.6554,,14985.5252,,12025.9365,,12721,,16345.0612,,13446.7518,,,,
3.822,15669.9281,,7566.85714,,8378.55882,,14691.8095,,10080.9929,,,,,
3.9887,,14843.5108,,12001.3651,,12711.4412,,16368.7075,,13415.4326,,,,
4.1554,15218.3885,,7575.04762,,8350.5,,14664.7075,,10109.4752,,,,,
4.3221,,14930.3597,,11983.873,,12738.7059,,16388.5714,,13498.5532,,,,
4.4887,15358.9353,,7575.74603,,8367.79412,,14673.5782,,10073.7589,,,,,
4.6554,,14742.1871,,11997.1429,,12727.5588,,16371.6463,,13440.7376,,,,
4.8221,15292.6906,,7540.63492,,8380.47059,,14670.966,,10099.6596,,,,,
4.9888,,14868.2878,,11964.6984,,12697.2941,,16379.4014,,13484.4823,,,,
5.1554,15433.036,,7572.28571,,8377.5,,14691.9456,,10071.1773,,,,,
5.3221,,14892.6043,,11977.619,,12675.0294,,16408.1088,,13477.4468,,,,
5.4888,15515.7122,,7575.04762,,8384.29412,,14669.4422,,10055.3191,,,,,
5.6555,,15094.0719,,12012.5714,,12714.3235,,16344.6259,,13444.766,,,,
5.8222,15435.4532,,7589.74603,,8380,,14686.2857,,10082.6667,,,,,
5.9888,,14918.0432,,12040.4444,,12709.8529,,16383.1565,,13400.7376,,,,
6.1555,15415.9424,,7566.4127,,8348.26471,,14712.0816,,10085.9007,,,,,
6.3222,,14920.3741,,11987.5556,,12737.6471,,16413.6054,,13456.3688,,,,
6.4889,15535.4245,,7605.42857,,8381.38235,,14666.0952,,10075.1206,,,,,
6.6555,,14966.5612,,11998.3492,,12681.6176,,16386.6122,,13408.5674,,,,
6.8222,15592.1727,,7571.33333,,8367.82353,,14736.5714,,10085.3333,,,,,
6.9889,,15335.5683,,12016.3492,,12744.6471,,16445.7687,,13411.5461,,,,
